qid,cid,relevance,label_source,notes
sbert-v2-profile-04202,sbert-v2-job-e87483dda4915b1ef6b8,1,silver_heuristic,adversarial negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04203,sbert-v2-job-5ee105346995c7775324,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04203,sbert-v2-job-f209daae727b9d3c4710,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04203,sbert-v2-job-256e043c760a6b142536,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04203,sbert-v2-job-805ccf29295bd25af899,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04203,sbert-v2-job-99f25cd776d1c7e8ad3b,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04203,sbert-v2-job-6167a107d5dadb198013,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04203,sbert-v2-job-38c916509a138b55a729,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04203,sbert-v2-job-77986a28011a452e328c,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04203,sbert-v2-job-f6603d950a89702d245a,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04203,sbert-v2-job-4b3702787a089968b715,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04203,sbert-v2-job-3d34bffdd43aba5b1aea,1,silver_heuristic,adversarial negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04204,sbert-v2-job-9ab59c70eccd3533fce6,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04204,sbert-v2-job-37b327c6709032ad79f0,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04204,sbert-v2-job-e5088c20d182cbd5536f,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04204,sbert-v2-job-8e6cc39a12a9c5a2709e,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04204,sbert-v2-job-cd8aa95ee839a50f46b0,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04204,sbert-v2-job-86ddb4ec2e485bc17bd3,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04204,sbert-v2-job-5399f066c6ca7f20c02b,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04204,sbert-v2-job-4d8b601e240b0aa54a11,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04204,sbert-v2-job-f1536eeeaefc551bf5c8,1,silver_heuristic,adversarial negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04205,sbert-v2-job-497525f9deea1b2ce787,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04205,sbert-v2-job-c10137db647f2d12f080,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04205,sbert-v2-job-967e5c2c5d7247805946,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04205,sbert-v2-job-ecad6f37010068cbafc0,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04205,sbert-v2-job-db6cb92885e0efc47985,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04205,sbert-v2-job-324ccb0daa1359a714c0,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04205,sbert-v2-job-7b0622e113f6966fb309,1,silver_heuristic,adversarial negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04206,sbert-v2-job-9ab8fb2c4a3ad46a63ba,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04206,sbert-v2-job-55d28d089c8ccaf1b93b,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04206,sbert-v2-job-c4365ec1784b800b81a7,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04206,sbert-v2-job-ffbbf9375edc64aea1ae,1,silver_heuristic,adversarial negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04207,sbert-v2-job-de8782fbb073ec70ede0,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04207,sbert-v2-job-1d74db9dbb8bce9a5358,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04207,sbert-v2-job-c69e9f032c09f85e5732,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04207,sbert-v2-job-8e7bde649cf349bf28f4,1,silver_heuristic,adversarial negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04208,sbert-v2-job-560d008a4d0878109572,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04208,sbert-v2-job-e662619c4cc3404510e4,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04208,sbert-v2-job-4bde9902a1f679397535,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04208,sbert-v2-job-d1598def7216ccc74d7f,1,silver_heuristic,adversarial negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04209,sbert-v2-job-e110e3cee6c84aac5243,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04209,sbert-v2-job-4f214f67332dc636ff7d,1,silver_heuristic,adversarial negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04210,sbert-v2-job-af45055f2d0c42d0b57b,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04210,sbert-v2-job-afb621bc8293579806ad,1,silver_heuristic,adversarial negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04211,sbert-v2-job-897e532ed7c729c8505f,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04211,sbert-v2-job-490de78e8e1f2715d4a7,1,silver_heuristic,adversarial negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04212,sbert-v2-job-a652f878aea76bdfe257,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04212,sbert-v2-job-eb9be7b535068389a1e0,1,silver_heuristic,adversarial negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04213,sbert-v2-job-66968dda70e2445076be,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04213,sbert-v2-job-df8c5f0d0c7813dc345e,1,silver_heuristic,adversarial negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04214,sbert-v2-job-9782f9eca038fc8d474c,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04214,sbert-v2-job-1e0fe18a0246aaa30478,1,silver_heuristic,adversarial negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04215,sbert-v2-job-435152adfaa887f18f5b,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04215,sbert-v2-job-801889588b14dfd95d47,1,silver_heuristic,adversarial negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04216,sbert-v2-job-5ba9f36a9ecfc4ae31af,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04216,sbert-v2-job-a7df031cdec89ffcdb72,1,silver_heuristic,adversarial negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04217,sbert-v2-job-9860a86aea15454b8bc4,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04217,sbert-v2-job-ad345360f65827b1ff92,1,silver_heuristic,adversarial negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04218,sbert-v2-job-a21678d0d612178dd522,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04219,sbert-v2-job-bfc1289aa5e2e8c5088f,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04220,sbert-v2-job-c9549c5710eacd626d51,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04221,sbert-v2-job-b6b572c99336402dab73,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04222,sbert-v2-job-7613438d7b8064a5c492,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04223,sbert-v2-job-f0b856ff4fbf2ba82876,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04224,sbert-v2-job-c6b6560397ec38c357b1,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04225,sbert-v2-job-529b4b36c2fd185bf9af,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04226,sbert-v2-job-2eeda715fe6a8e4da599,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04227,sbert-v2-job-422740deeb7ede6423d0,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04228,sbert-v2-job-8e6c1072b15ff49c9d0d,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04229,sbert-v2-job-43b8dc31293c76ae2231,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04230,sbert-v2-job-6aa172152a2d146cc950,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04231,sbert-v2-job-ec0fd18cac14856001bb,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04232,sbert-v2-job-eec33b28b2e9a0a81efc,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04233,sbert-v2-job-79294af272a1c8caa8c9,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04234,sbert-v2-job-31d68e90b928d9098662,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04235,sbert-v2-job-7d1e73f3d11d13c28ad0,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04236,sbert-v2-job-cf494340293a8cf78300,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04237,sbert-v2-job-65c031add15d1d4acb89,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04238,sbert-v2-job-a54177ca3f0a75c0dddd,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04239,sbert-v2-job-435152adfaa887f18f5b,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04240,sbert-v2-job-91de57c515c19ab62d28,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04241,sbert-v2-job-9860a86aea15454b8bc4,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04242,sbert-v2-job-a21678d0d612178dd522,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04243,sbert-v2-job-bfc1289aa5e2e8c5088f,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04244,sbert-v2-job-c9549c5710eacd626d51,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04245,sbert-v2-job-b6b572c99336402dab73,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04246,sbert-v2-job-7613438d7b8064a5c492,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04247,sbert-v2-job-f0b856ff4fbf2ba82876,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04248,sbert-v2-job-fe48f22c0fee50a669e9,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04249,sbert-v2-job-acbc95749e99d9653720,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04250,sbert-v2-job-d6e13c39f4d3fbfcbf7d,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04251,sbert-v2-job-6d1252344c3f68a71dbb,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04252,sbert-v2-job-8a3a2aee5a0206f635fa,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04253,sbert-v2-job-784e5c54ea7aee7375ba,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04254,sbert-v2-job-d30a83376401a1f1afc9,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04255,sbert-v2-job-5bc893819a528b9d58eb,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04256,sbert-v2-job-888b60166a2d688fe905,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04257,sbert-v2-job-f2fc62a2e6a40323cd14,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04258,sbert-v2-job-be7b28cf14976bfeea15,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04259,sbert-v2-job-7c73dc6155032275ddf6,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04260,sbert-v2-job-cf494340293a8cf78300,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04261,sbert-v2-job-66968dda70e2445076be,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04262,sbert-v2-job-a54177ca3f0a75c0dddd,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04263,sbert-v2-job-1d7d2a461521c9e75a88,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04264,sbert-v2-job-891941d69e4d572031f0,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04265,sbert-v2-job-9860a86aea15454b8bc4,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04266,sbert-v2-job-3400e40efc5045502ff9,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04267,sbert-v2-job-bfc1289aa5e2e8c5088f,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04268,sbert-v2-job-c9549c5710eacd626d51,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04269,sbert-v2-job-b6b572c99336402dab73,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04270,sbert-v2-job-7613438d7b8064a5c492,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04271,sbert-v2-job-f0b856ff4fbf2ba82876,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04272,sbert-v2-job-68dc7160d4d65562edbc,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04273,sbert-v2-job-52f2c17d94c14261475e,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04274,sbert-v2-job-5ba9f36a9ecfc4ae31af,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04275,sbert-v2-job-1b15c048ad2477fd3bd2,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04276,sbert-v2-job-f370ce19665dc2bf4fc8,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04277,sbert-v2-job-9ef67877eece73b0b101,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04278,sbert-v2-job-d83cc9bf10afc8c0acd6,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04279,sbert-v2-job-41d4c49ad023a66454cd,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04280,sbert-v2-job-e80682f7df1d154d83f7,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04281,sbert-v2-job-56bc9c2801dbf1def682,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04282,sbert-v2-job-de98f5fd0c36aea66706,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04283,sbert-v2-job-b9b690bbe41e2829b52e,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04284,sbert-v2-job-72162a62349d05d3b5a9,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04285,sbert-v2-job-66968dda70e2445076be,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04286,sbert-v2-job-a54177ca3f0a75c0dddd,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04287,sbert-v2-job-435152adfaa887f18f5b,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04288,sbert-v2-job-7f4913d856bf2e394a4d,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04289,sbert-v2-job-9860a86aea15454b8bc4,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04290,sbert-v2-job-a21678d0d612178dd522,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04291,sbert-v2-job-bfc1289aa5e2e8c5088f,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04292,sbert-v2-job-c9549c5710eacd626d51,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04293,sbert-v2-job-b6b572c99336402dab73,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04294,sbert-v2-job-7613438d7b8064a5c492,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04295,sbert-v2-job-f0b856ff4fbf2ba82876,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04296,sbert-v2-job-db2414f6de60bcec4caa,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04297,sbert-v2-job-c59802423012e1845bff,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04298,sbert-v2-job-7d6c3e07833ffa7989ce,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04299,sbert-v2-job-815801a29246882a3e01,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04300,sbert-v2-job-f81e06072b7a64af603e,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04301,sbert-v2-job-2b2d695ed1d27ffaa93e,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04302,sbert-v2-job-3dc79c7193b93ae78a30,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04303,sbert-v2-job-7931a8f573472ace6564,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04304,sbert-v2-job-bf8ec3e2af60b7767fe9,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04305,sbert-v2-job-60306f1d34e63e5a6f53,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04306,sbert-v2-job-40f6fdd011533620f619,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04307,sbert-v2-job-897e532ed7c729c8505f,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04308,sbert-v2-job-72162a62349d05d3b5a9,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04309,sbert-v2-job-66968dda70e2445076be,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04800,sbert-v2-job-c74e87e576c514bcd753,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04800,sbert-v2-job-ce2f8f4220f19907bfbb,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04800,sbert-v2-job-99d192af0da5094b1e1d,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04800,sbert-v2-job-dcc6566f69b7abafaf54,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04800,sbert-v2-job-d71e13a66d9aed9030a1,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04800,sbert-v2-job-4a810e7b437359f45cd8,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04800,sbert-v2-job-f4db2d1dd7eb7a0f6a32,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04800,sbert-v2-job-f10b974de2642deeb693,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04800,sbert-v2-job-232c8a78719a1b95cae1,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04800,sbert-v2-job-7450acdac5fafa239c9e,1,silver_heuristic,hard negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04800,sbert-v2-job-aff7720d04286d027279,1,silver_heuristic,adversarial negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04801,sbert-v2-job-ac0669d3bcc187ae649f,3,silver_heuristic,"positive: domain, occupation group, and generated profile skill intent align"
sbert-v2-profile-04801,sbert-v2-job-871a3a869eb184c95ded,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04801,sbert-v2-job-439e1d3e2ef02407fd1f,0,silver_heuristic,easy negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04801,sbert-v2-job-5e288ea2be5493991e8d,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04801,sbert-v2-job-5de11087c9df91b655d4,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04801,sbert-v2-job-1ccc54f23575a3e13c7e,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
sbert-v2-profile-04801,sbert-v2-job-4c381873d52bd29ca67e,0,silver_heuristic,medium negative: sampled by documented SBERT v2 negative policy
